[<aliyunsdkcore.client.AcsClient object at 0x11129bf28>]
{'id': '9b5cb0d2-69bc-43bf-a404-bc5adb8ec32e', 'ip': '10.80.114.55', 'hostname': 'iZbp1arswd1mph6zrp2ehjZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '55840606-2a70-493f-8700-7b66f79b42cb', 'ip': '10.80.103.203', 'hostname': 'iZbp1arswd1mph6zrp2ehiZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'a61e2e0a-a19b-4c0e-b61b-df3863aa72bd', 'ip': '10.46.228.27', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-ops-esmaster2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
{'id': 'daab5c41-c431-44da-9b00-6b92a0ad31bf', 'ip': '10.80.178.110', 'hostname': 'iZbp12w2bjepfzbgu8foq9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '2a2ce7fd-a504-4e0c-96d5-cca36ae5ed97', 'ip': '10.252.228.6', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-vpc4-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.16.3', 'cpu_count': 8, 'memory': 32768}
{'id': '50ca17da-4a88-4803-97f5-a252ca6db85b', 'ip': '10.252.225.204', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.107', 'cpu_count': 8, 'memory': 32768}
{'id': '2bd9276f-d38c-4760-9b50-559d03031527', 'ip': '10.252.225.176', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.65', 'cpu_count': 8, 'memory': 32768}
{'id': 'b67adb69-1de0-454b-98f0-b7084e8122d7', 'ip': '10.252.225.219', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.3', 'cpu_count': 8, 'memory': 32768}
{'id': 'dd41d626-71e2-444b-a0ff-501177d0fad7', 'ip': '10.252.215.205', 'hostname': 'iZbp1f9golo2wydcr5rco7Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'f8edfa97-238d-4d5e-9933-def48200c1ae', 'ip': '10.252.226.226', 'hostname': 'iZbp1f9golo2wydcr5rco8Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '1afeadd6-b2ef-4778-860b-5d1c09ecc17d', 'ip': '10.252.216.129', 'hostname': 'iZbp1f9golo2wydcr5rco6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '3cb49262-9fc4-433b-bfd0-f80c8c271790', 'ip': '10.46.226.147', 'hostname': 'iZbp1i02d9n5g3t0zd6xifZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
