[<aliyunsdkcore.client.AcsClient object at 0x111269e10>]
{'id': 'e9ae1f08-3cdf-4622-9bd7-f8f8793926d6', 'ip': '10.80.103.203', 'hostname': 'iZbp1arswd1mph6zrp2ehiZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'c674df18-767e-44ce-94b2-087338d4e9a7', 'ip': '10.46.228.27', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-ops-esmaster2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
{'id': '00dd3c3d-aa1e-4497-9f44-b97479582f1b', 'ip': '10.80.178.110', 'hostname': 'iZbp12w2bjepfzbgu8foq9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '43ca5eba-23d8-42a4-8192-50f04a8ed93a', 'ip': '10.252.228.6', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-vpc4-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.16.3', 'cpu_count': 8, 'memory': 32768}
{'id': '3428621e-3f17-49da-a9a1-7d82135dfd26', 'ip': '10.252.225.204', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.107', 'cpu_count': 8, 'memory': 32768}
{'id': 'f617a425-f4d0-4741-b01a-00a4939e5786', 'ip': '10.252.225.176', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.65', 'cpu_count': 8, 'memory': 32768}
{'id': '5737a74c-8ac2-4954-886b-ffbae59d6022', 'ip': '10.252.225.219', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.3', 'cpu_count': 8, 'memory': 32768}
{'id': '850cc740-bb08-473f-b027-f7c37518cf9d', 'ip': '10.252.215.205', 'hostname': 'iZbp1f9golo2wydcr5rco7Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'e1297112-19eb-4fc4-bdb8-f545d4af819b', 'ip': '10.252.226.226', 'hostname': 'iZbp1f9golo2wydcr5rco8Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'b9e6e0f2-db21-4112-bafc-484f10d253f0', 'ip': '10.252.216.129', 'hostname': 'iZbp1f9golo2wydcr5rco6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'bbb93d55-6096-43e8-99fd-56c1064f3286', 'ip': '10.46.226.147', 'hostname': 'iZbp1i02d9n5g3t0zd6xifZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
{'id': '23065441-f41c-4ded-a1fa-ccf37707a60b', 'ip': '10.25.174.54', 'hostname': 'iZbp17p5hshcy0jdtenu3cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.174.99', 'cpu_count': 4, 'memory': 8192}
{'id': 'a0e63619-15dd-4032-9f81-270b9c85f247', 'ip': '10.252.226.141', 'hostname': 'iZbp13fdhfs9lqkl6bfil6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.10.168', 'cpu_count': 4, 'memory': 16384}
{'id': '6824aef4-bb4d-4e17-84bd-453f2000bea1', 'ip': '10.252.217.122', 'hostname': 'iZbp13fdhfs9lqkl6bfil4Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.145', 'cpu_count': 4, 'memory': 16384}
