[<aliyunsdkcore.client.AcsClient object at 0x10a93a358>]
{'id': '6f49b6d0-917b-449e-816a-e3fcf138c35d', 'ip': '10.80.227.172', 'hostname': 'iZbp12rrr9fg738jtl4ih5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '9f0a2ca5-172c-4af3-9483-8632015b7d45', 'ip': '10.47.52.94', 'hostname': 'iZbp1503xw2q1fhd40x0wyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '33c00b0f-90fb-43d8-bdc6-4029617620be', 'ip': '10.80.102.146', 'hostname': 'iZbp1arswd1mph6zrp2ehhZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'b1a69f7d-f51d-43b5-9f81-ddbd6d06b840', 'ip': '10.80.114.55', 'hostname': 'iZbp1arswd1mph6zrp2ehjZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': '45dc21f4-216a-4edc-bb6f-f7d50b273178', 'ip': '10.80.103.203', 'hostname': 'iZbp1arswd1mph6zrp2ehiZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'e1d74ee4-2e1f-46ae-bf1e-aae081b1993a', 'ip': '10.46.228.27', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-ops-esmaster2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
{'id': '684406e7-eb8e-4219-9f5a-1f8e0c9bd9ac', 'ip': '10.80.178.110', 'hostname': 'iZbp12w2bjepfzbgu8foq9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '96606e5d-8648-4044-8e3b-2e097a41f9b4', 'ip': '10.252.228.6', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-vpc4-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.16.3', 'cpu_count': 8, 'memory': 32768}
{'id': '4c443d46-e1c7-4ff1-84ee-427e8db6083d', 'ip': '10.252.225.204', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.107', 'cpu_count': 8, 'memory': 32768}
{'id': '0c4b054a-7539-44fc-a904-56525c18e392', 'ip': '10.252.225.176', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.65', 'cpu_count': 8, 'memory': 32768}
{'id': '714337df-7dea-4ec1-889c-63c6d489bebb', 'ip': '10.252.225.219', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos1', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.3', 'cpu_count': 8, 'memory': 32768}
{'id': '86e50d0e-37d3-4ea8-9ba0-8b9b3ab50d28', 'ip': '10.252.215.205', 'hostname': 'iZbp1f9golo2wydcr5rco7Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '9a837301-0a5a-4471-9688-03293ef06ff2', 'ip': '10.252.226.226', 'hostname': 'iZbp1f9golo2wydcr5rco8Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'e95a22b4-4ce0-4561-93f0-d54bd8539cfc', 'ip': '10.252.216.129', 'hostname': 'iZbp1f9golo2wydcr5rco6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '5f136ec5-3135-4be5-bfdd-ba0a3275b403', 'ip': '10.46.226.147', 'hostname': 'iZbp1i02d9n5g3t0zd6xifZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
{'id': 'fff14184-1311-4744-8f4e-55f7d1c4fe05', 'ip': '10.25.174.54', 'hostname': 'iZbp17p5hshcy0jdtenu3cZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '114.55.174.99', 'cpu_count': 4, 'memory': 8192}
{'id': '25b1e0e9-0288-4b90-9787-62152cb3373f', 'ip': '10.252.226.141', 'hostname': 'iZbp13fdhfs9lqkl6bfil6Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.10.168', 'cpu_count': 4, 'memory': 16384}
{'id': '588351eb-adcb-461a-a4d0-11dc68c62600', 'ip': '10.252.217.122', 'hostname': 'iZbp13fdhfs9lqkl6bfil4Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.145', 'cpu_count': 4, 'memory': 16384}
{'id': 'b207eff4-5237-4723-82d0-4782e0fe70f8', 'ip': '10.252.224.69', 'hostname': 'iZbp13fdhfs9lqkl6bfil5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.15.137', 'cpu_count': 4, 'memory': 16384}
{'id': 'bfcb19b0-dae3-498c-93bf-29cb3e7a35f9', 'ip': '10.252.212.241', 'hostname': 'iZbp1h0l2i5hzrtrf5lf1sZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 32768}
