[<aliyunsdkcore.client.AcsClient object at 0x109448978>]
{'id': '14393aae-28ce-4abb-bb9a-16e4777accfb', 'ip': '10.165.109.17', 'hostname': 'iZbp12rrr9fg738jtl4ih2Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': 'dd07b9ae-51fd-4695-acb0-8a0a92361bcb', 'ip': '10.80.227.172', 'hostname': 'iZbp12rrr9fg738jtl4ih5Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '0f800268-a830-4918-8dc7-33584f850c6c', 'ip': '10.47.52.94', 'hostname': 'iZbp1503xw2q1fhd40x0wyZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 4096}
{'id': '469e8358-16de-41a0-8337-788779c139cc', 'ip': '10.80.102.146', 'hostname': 'iZbp1arswd1mph6zrp2ehhZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'ff47f4fc-758f-4853-8cf6-24537fa4ca59', 'ip': '10.80.114.55', 'hostname': 'iZbp1arswd1mph6zrp2ehjZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'e07a5d32-3cfe-484b-9311-dd490d8e8a1b', 'ip': '10.80.103.203', 'hostname': 'iZbp1arswd1mph6zrp2ehiZ', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 8, 'memory': 16384}
{'id': 'a9d61019-d52e-4e0d-bd9b-09c514f0c6f4', 'ip': '10.46.228.27', 'hostname': 'kefu-ali-hangzhou-kefu-ecs-prod-ops-esmaster2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 2, 'memory': 8192}
{'id': '64f5a179-04a4-4c46-92e2-d1172bc7c768', 'ip': '10.80.178.110', 'hostname': 'iZbp12w2bjepfzbgu8foq9Z', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '', 'cpu_count': 4, 'memory': 8192}
{'id': '47e89087-083a-400b-bdb3-d7a49aded444', 'ip': '10.252.228.6', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-vpc4-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.16.3', 'cpu_count': 8, 'memory': 32768}
{'id': '72a65a7b-9843-49eb-b02b-221dd9b360f7', 'ip': '10.252.225.204', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos3', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.1.107', 'cpu_count': 8, 'memory': 32768}
{'id': '190ae557-1e1e-40d8-85fd-3e6f41d5d579', 'ip': '10.252.225.176', 'hostname': 'vip3-ali-hangzhou-kefu-ecs-sdb-dongfeng-mesos2', 'port': 3299, 'platform': 'Linux', 'is_active': True, 'zoneid': 'cn-hangzhou', 'public_ip': '120.26.14.65', 'cpu_count': 8, 'memory': 32768}
